Headline,Sentiment,Sector
Consumer confidence index reaches a decade high,Positive,Transportation
New housing data release shows a slowdown in market activity,Negative,Pharmaceuticals
Consumer Discretionary stocks outperform as spending increases,Negative,Utilities
Record-high inflation data rattles investors,Positive,Utilities
A massive data breach sends a tech company's stock tumbling,Neutral,Retail
Government policy shift boosts renewable energy sector,Neutral,Automotive
Real Estate sector shows signs of overheating as interest rates fall,Positive,Retail
Banking stocks dip after a major scandal is revealed,Positive,Technology
Merger talks between two banks fall through,Neutral,Healthcare
New regulations on cryptocurrencies cause a market dip,Neutral,Industrials
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Energy
Utilities sector remains stable during market fluctuations,,Aerospace & Defense
Government subsidy program gives a lift to the agriculture sector,Negative,Utilities
Crude oil prices drop to a multi-year low,Negative,Transportation
Central Bank Governor signals potential shift in policy,Positive,Healthcare
Financial services stocks rally on strong profit margins,Neutral,Consumer Goods
Government spending bill is expected to stimulate the economy,,Media & Entertainment
Bond yields tumble as investors seek safe havens,Neutral,Materials
Market braces for a major policy announcement from the EU,Neutral,Retail
Government spending bill is expected to stimulate the economy,,Agriculture
Retail sales report surpasses all forecasts,Positive,Automotive
Semiconductor shortages weigh heavily on tech sector profits,Positive,Agriculture
Crude oil prices drop to a multi-year low,Negative,Pharmaceuticals
Energy company's dividend hike excites shareholders,Positive,Aerospace & Defense
Supply chain issues impact manufacturing sector earnings,Neutral,Industrials
China's Shanghai Composite falls after new trade restrictions,Neutral,Materials
Major oil spill sends energy stocks plummeting,,Agriculture
Semiconductor shortages weigh heavily on tech sector profits,Negative,Retail
A massive data breach sends a tech company's stock tumbling,Neutral,Media & Entertainment
Dow Jones plunges as market fears recession,Positive,Energy
Central bank maintains status quo on interest rates,Negative,Technology
Crude oil prices drop to a multi-year low,Positive,Real Estate
Consumer confidence index reaches a decade high,Neutral,Technology
Quarterly report shows surprising losses for retail giants,Positive,Aerospace & Defense
,Positive,Technology
Energy company's dividend hike excites shareholders,Positive,Transportation
Manufacturing PMI data signals economic expansion,Neutral,Aerospace & Defense
Automotive industry faces headwinds from rising material costs,Positive,Pharmaceuticals
"Global trade talks collapse, causing market turmoil",Positive,Consumer Goods
Dow Jones plunges as market fears recession,Negative,Aerospace & Defense
Consumer confidence index reaches a decade high,Neutral,Healthcare
Financial services stocks rally on strong profit margins,Negative,Transportation
Automotive industry faces headwinds from rising material costs,Neutral,Automotive
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Construction
Bond yields tumble as investors seek safe havens,,Construction
,Positive,Media & Entertainment
Consumer confidence index reaches a decade high,Positive,Agriculture
Media and Entertainment companies report a surge in streaming revenue,Positive,Construction
Geopolitical ceasefire prompts a broad market recovery,Negative,Media & Entertainment
"Global trade talks collapse, causing market turmoil",Neutral,Utilities
Financial sector bracing for new capital requirements,Negative,Materials
Semiconductor shortages weigh heavily on tech sector profits,Positive,Telecommunications
Energy company's dividend hike excites shareholders,Positive,Aerospace & Defense
Record-high inflation data rattles investors,Positive,Transportation
New regulations on cryptocurrencies cause a market dip,Positive,Utilities
Consumer confidence index reaches a decade high,Neutral,Real Estate
A massive data breach sends a tech company's stock tumbling,Positive,Utilities
Pharmaceutical company's drug approval drives stock upward,Negative,Retail
Financial sector bracing for new capital requirements,Neutral,Healthcare
Market sentiment turns positive on vaccine trial results,Neutral,Automotive
ASX 200 gains on strong export performance,Negative,Aerospace & Defense
A massive data breach sends a tech company's stock tumbling,Positive,Consumer Goods
Geopolitical ceasefire prompts a broad market recovery,Negative,Finance
Gold prices surge as investors flee riskier assets,Negative,Transportation
Unexpected rise in unemployment fuels market pessimism,Positive,Agriculture
New IPO for a popular software firm is oversubscribed,Negative,Construction
Government subsidy program gives a lift to the agriculture sector,Neutral,Agriculture
Unexpected rise in unemployment fuels market pessimism,Negative,Materials
New IPO for a popular software firm is oversubscribed,Positive,Construction
Utilities sector remains stable during market fluctuations,Neutral,Real Estate
Retail sales report surpasses all forecasts,Neutral,Healthcare
Unexpected rise in unemployment fuels market pessimism,Negative,Utilities
Record-high inflation data rattles investors,Neutral,Energy
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Consumer Goods
Major oil spill sends energy stocks plummeting,Neutral,Consumer Goods
Government subsidy program gives a lift to the agriculture sector,Positive,Telecommunications
Quarterly report shows surprising losses for retail giants,Positive,Consumer Goods
New housing data release shows a slowdown in market activity,Positive,Telecommunications
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Automotive
Federal Reserve Chairman's speech causes market volatility,Negative,Agriculture
Banking stocks dip after a major scandal is revealed,Positive,Aerospace & Defense
,Negative,Healthcare
Manufacturing PMI data signals economic expansion,Negative,Healthcare
Crude oil prices drop to a multi-year low,Neutral,Transportation
UK's FTSE 100 sees a boost from favorable trade data,Negative,Finance
Government spending bill is expected to stimulate the economy,Positive,Healthcare
Central Bank Governor signals potential shift in policy,Negative,Retail
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Agriculture
Bond yields tumble as investors seek safe havens,Neutral,Technology
Manufacturing PMI data signals economic expansion,Positive,Technology
Market braces for a major policy announcement from the EU,Negative,Automotive
New regulations on cryptocurrencies cause a market dip,Neutral,Construction
ASX 200 gains on strong export performance,Negative,Finance
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Consumer Goods
Consumer confidence index reaches a decade high,Negative,Retail
Market sentiment turns positive on vaccine trial results,Negative,Industrials
Massive stock buyback program announced by a consumer goods company,Negative,Consumer Goods
"Global trade talks collapse, causing market turmoil",Negative,Consumer Goods
Dow Jones plunges as market fears recession,Positive,Media & Entertainment
,,Industrials
Dow Jones plunges as market fears recession,Neutral,Healthcare
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Healthcare
Unexpected rise in unemployment fuels market pessimism,Positive,Real Estate
Market braces for a major policy announcement from the EU,Negative,Utilities
Market braces for a major policy announcement from the EU,Neutral,Real Estate
A massive data breach sends a tech company's stock tumbling,Neutral,Materials
China's Shanghai Composite falls after new trade restrictions,Neutral,Materials
Government spending bill is expected to stimulate the economy,Positive,Real Estate
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Utilities
Government spending bill is expected to stimulate the economy,Negative,Consumer Goods
New IPO for a popular software firm is oversubscribed,Positive,Materials
Central bank maintains status quo on interest rates,Positive,Aerospace & Defense
Market braces for a major policy announcement from the EU,Neutral,Transportation
Major oil spill sends energy stocks plummeting,Negative,Consumer Goods
Retail sales report surpasses all forecasts,Negative,Transportation
Quarterly report shows surprising losses for retail giants,Negative,Real Estate
Federal Reserve Chairman's speech causes market volatility,Neutral,Pharmaceuticals
Supply chain issues impact manufacturing sector earnings,Neutral,Retail
Healthcare stocks gain on robust demand and strong outlook,Negative,Consumer Goods
"Global trade talks collapse, causing market turmoil",Positive,Transportation
Manufacturing PMI data signals economic expansion,Positive,Transportation
Quarterly report shows surprising losses for retail giants,Neutral,Finance
Financial sector bracing for new capital requirements,Negative,Materials
UK's FTSE 100 sees a boost from favorable trade data,Negative,Retail
,Neutral,Healthcare
Retail sales report surpasses all forecasts,Positive,Automotive
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Materials
Real Estate sector shows signs of overheating as interest rates fall,Positive,Aerospace & Defense
Central Bank's dovish tone hints at future rate cuts,Positive,Retail
Utilities sector remains stable during market fluctuations,,Pharmaceuticals
Market sentiment turns positive on vaccine trial results,Positive,Healthcare
ASX 200 gains on strong export performance,Negative,Transportation
A massive data breach sends a tech company's stock tumbling,Positive,Healthcare
Nikkei 225 index benefits from a weaker yen,,Automotive
Market braces for a major policy announcement from the EU,Negative,Automotive
Consumer Discretionary stocks outperform as spending increases,Negative,Technology
Market sentiment turns positive on vaccine trial results,Negative,Finance
Central bank maintains status quo on interest rates,Positive,Energy
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Agriculture
Consumer Discretionary stocks outperform as spending increases,Neutral,Industrials
Consumer confidence index reaches a decade high,Negative,Materials
Pharmaceutical company's drug approval drives stock upward,Neutral,Healthcare
Nikkei 225 index benefits from a weaker yen,Negative,Real Estate
Energy company's dividend hike excites shareholders,,Agriculture
Merger talks between two banks fall through,Neutral,Materials
A massive data breach sends a tech company's stock tumbling,Neutral,Media & Entertainment
Utilities sector remains stable during market fluctuations,Positive,Finance
Record-high inflation data rattles investors,Positive,Telecommunications
Central Bank's dovish tone hints at future rate cuts,Neutral,Media & Entertainment
Quarterly report shows surprising losses for retail giants,Negative,Real Estate
Major oil spill sends energy stocks plummeting,Negative,Real Estate
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Utilities
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Positive,Utilities
Unexpected rise in unemployment fuels market pessimism,Negative,Media & Entertainment
Central bank maintains status quo on interest rates,Negative,Transportation
Semiconductor shortages weigh heavily on tech sector profits,Negative,Materials
Healthcare stocks gain on robust demand and strong outlook,Negative,Retail
Dow Jones plunges as market fears recession,Neutral,Materials
Nikkei 225 index benefits from a weaker yen,Neutral,Transportation
Automotive industry faces headwinds from rising material costs,Positive,Materials
Government subsidy program gives a lift to the agriculture sector,Neutral,Automotive
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Finance
Financial services stocks rally on strong profit margins,Negative,Energy
Government policy shift boosts renewable energy sector,Negative,Construction
China's Shanghai Composite falls after new trade restrictions,Negative,Healthcare
Energy company's dividend hike excites shareholders,Positive,Technology
Financial services stocks rally on strong profit margins,Neutral,Industrials
New regulations on cryptocurrencies cause a market dip,,Industrials
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Telecommunications
Federal Reserve Chairman's speech causes market volatility,Neutral,Real Estate
Media and Entertainment companies report a surge in streaming revenue,Neutral,Materials
Healthcare stocks gain on robust demand and strong outlook,Positive,Telecommunications
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Finance
,Negative,Healthcare
Market sentiment turns positive on vaccine trial results,Negative,Media & Entertainment
Manufacturing PMI data signals economic expansion,Neutral,Construction
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Industrials
Energy company's dividend hike excites shareholders,Positive,Transportation
Market braces for a major policy announcement from the EU,Negative,Real Estate
Government spending bill is expected to stimulate the economy,Positive,Technology
Semiconductor shortages weigh heavily on tech sector profits,Negative,Aerospace & Defense
Central Bank Governor signals potential shift in policy,Positive,Automotive
Pharmaceutical company's drug approval drives stock upward,,Utilities
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Industrials
Market braces for a major policy announcement from the EU,Negative,Media & Entertainment
E-commerce earnings report beats all analyst expectations,Negative,Telecommunications
Government subsidy program gives a lift to the agriculture sector,,Automotive
Real Estate sector shows signs of overheating as interest rates fall,Negative,Consumer Goods
Government subsidy program gives a lift to the agriculture sector,Positive,Industrials
Retail sales report surpasses all forecasts,Negative,Consumer Goods
Government subsidy program gives a lift to the agriculture sector,Positive,Industrials
Consumer Discretionary stocks outperform as spending increases,Positive,Healthcare
Financial sector bracing for new capital requirements,Negative,Media & Entertainment
Dow Jones plunges as market fears recession,Neutral,Finance
Consumer confidence index reaches a decade high,Negative,Aerospace & Defense
Central Bank Governor signals potential shift in policy,Neutral,Industrials
New housing data release shows a slowdown in market activity,Positive,Industrials
Government policy shift boosts renewable energy sector,Neutral,Technology
UK's FTSE 100 sees a boost from favorable trade data,Negative,Healthcare
ASX 200 gains on strong export performance,Negative,Utilities
Government spending bill is expected to stimulate the economy,Positive,Energy
Unexpected rise in unemployment fuels market pessimism,Positive,Telecommunications
Central Bank Governor signals potential shift in policy,Neutral,Technology
Supply chain issues impact manufacturing sector earnings,Negative,Industrials
Pharmaceutical company's drug approval drives stock upward,Neutral,Utilities
Aerospace and Defense sector sees rally amid geopolitical tensions,Positive,Construction
E-commerce earnings report beats all analyst expectations,Neutral,Technology
Merger talks between two banks fall through,Positive,Media & Entertainment
,Neutral,Aerospace & Defense
Market braces for a major policy announcement from the EU,Negative,Industrials
Financial services stocks rally on strong profit margins,Negative,Construction
Merger talks between two banks fall through,Positive,Industrials
Automotive industry faces headwinds from rising material costs,,Media & Entertainment
Massive stock buyback program announced by a consumer goods company,Positive,Healthcare
Media and Entertainment companies report a surge in streaming revenue,Negative,Construction
Federal Reserve Chairman's speech causes market volatility,Negative,Media & Entertainment
Geopolitical ceasefire prompts a broad market recovery,Negative,Agriculture
Healthcare stocks gain on robust demand and strong outlook,Negative,Construction
Consumer Discretionary stocks outperform as spending increases,Neutral,Automotive
Bond yields tumble as investors seek safe havens,Positive,Aerospace & Defense
Major oil spill sends energy stocks plummeting,Neutral,Real Estate
New IPO for a popular software firm is oversubscribed,Positive,Consumer Goods
,Positive,Aerospace & Defense
Pharmaceutical company's drug approval drives stock upward,Neutral,Real Estate
Government spending bill is expected to stimulate the economy,Negative,Transportation
Gold prices surge as investors flee riskier assets,Positive,Aerospace & Defense
Geopolitical ceasefire prompts a broad market recovery,Negative,Real Estate
Federal Reserve Chairman's speech causes market volatility,Positive,Finance
Bond yields tumble as investors seek safe havens,Neutral,Industrials
Mining company stock surges on commodity price boom,Negative,Real Estate
,Neutral,Transportation
E-commerce earnings report beats all analyst expectations,Neutral,Consumer Goods
A massive data breach sends a tech company's stock tumbling,Neutral,Transportation
Manufacturing PMI data signals economic expansion,Positive,Pharmaceuticals
Merger talks between two banks fall through,Neutral,Utilities
Central bank maintains status quo on interest rates,Negative,Consumer Goods
Media and Entertainment companies report a surge in streaming revenue,Neutral,Agriculture
Market sentiment turns positive on vaccine trial results,Positive,Pharmaceuticals
Geopolitical ceasefire prompts a broad market recovery,Neutral,Technology
UK's FTSE 100 sees a boost from favorable trade data,Positive,Retail
,,Automotive
Real Estate sector shows signs of overheating as interest rates fall,Positive,Industrials
Massive stock buyback program announced by a consumer goods company,Negative,Technology
Major oil spill sends energy stocks plummeting,Neutral,Transportation
Healthcare stocks gain on robust demand and strong outlook,Negative,Transportation
Government subsidy program gives a lift to the agriculture sector,Positive,Telecommunications
A massive data breach sends a tech company's stock tumbling,Negative,Industrials
Central Bank's dovish tone hints at future rate cuts,Positive,Transportation
Central bank maintains status quo on interest rates,Neutral,Materials
,Negative,Consumer Goods
Government policy shift boosts renewable energy sector,Negative,Technology
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Consumer Goods
Market sentiment turns positive on vaccine trial results,Neutral,Retail
Bond yields tumble as investors seek safe havens,Neutral,Retail
China's Shanghai Composite falls after new trade restrictions,Positive,Consumer Goods
Quarterly report shows surprising losses for retail giants,Positive,Finance
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Automotive
"Global trade talks collapse, causing market turmoil",Negative,Industrials
Retail sales report surpasses all forecasts,Negative,Telecommunications
Federal Reserve Chairman's speech causes market volatility,Positive,Retail
UK's FTSE 100 sees a boost from favorable trade data,Negative,Materials
Energy company's dividend hike excites shareholders,Neutral,Consumer Goods
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Positive,Aerospace & Defense
Record-high inflation data rattles investors,Negative,Aerospace & Defense
Consumer confidence index reaches a decade high,Neutral,Materials
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Finance
E-commerce earnings report beats all analyst expectations,,Agriculture
E-commerce earnings report beats all analyst expectations,Positive,Pharmaceuticals
Media and Entertainment companies report a surge in streaming revenue,Positive,Industrials
,Neutral,Finance
Unexpected rise in unemployment fuels market pessimism,Neutral,Retail
Retail sales report surpasses all forecasts,Negative,Aerospace & Defense
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Agriculture
Nikkei 225 index benefits from a weaker yen,Positive,Utilities
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Real Estate
Market sentiment turns positive on vaccine trial results,Positive,Materials
Semiconductor shortages weigh heavily on tech sector profits,Negative,Retail
New IPO for a popular software firm is oversubscribed,Positive,Transportation
Gold prices surge as investors flee riskier assets,Neutral,Utilities
Bond yields tumble as investors seek safe havens,Neutral,Automotive
Merger talks between two banks fall through,Neutral,Automotive
New IPO for a popular software firm is oversubscribed,Neutral,Telecommunications
Major oil spill sends energy stocks plummeting,Negative,Automotive
Crude oil prices drop to a multi-year low,Neutral,Construction
Market sentiment turns positive on vaccine trial results,Positive,Retail
Semiconductor shortages weigh heavily on tech sector profits,Positive,Industrials
Bond yields tumble as investors seek safe havens,Positive,Retail
Geopolitical ceasefire prompts a broad market recovery,Negative,Finance
"Global trade talks collapse, causing market turmoil",Positive,Consumer Goods
E-commerce earnings report beats all analyst expectations,Negative,Energy
New regulations on cryptocurrencies cause a market dip,Negative,Transportation
Federal Reserve Chairman's speech causes market volatility,Negative,Utilities
Manufacturing PMI data signals economic expansion,Negative,Real Estate
Record-high inflation data rattles investors,Neutral,Energy
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Finance
Automotive industry faces headwinds from rising material costs,Neutral,Transportation
Nikkei 225 index benefits from a weaker yen,Negative,Consumer Goods
Market braces for a major policy announcement from the EU,Neutral,Utilities
Bond yields tumble as investors seek safe havens,Positive,Agriculture
Automotive industry faces headwinds from rising material costs,Positive,Telecommunications
Financial sector bracing for new capital requirements,Negative,Automotive
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Retail
China's Shanghai Composite falls after new trade restrictions,Negative,Aerospace & Defense
Consumer confidence index reaches a decade high,Negative,Transportation
Pharmaceutical company's drug approval drives stock upward,,Materials
Healthcare stocks gain on robust demand and strong outlook,Neutral,Transportation
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Telecommunications
Nikkei 225 index benefits from a weaker yen,Negative,Automotive
New IPO for a popular software firm is oversubscribed,Neutral,Finance
New regulations on cryptocurrencies cause a market dip,Neutral,Automotive
Record-high inflation data rattles investors,Positive,Consumer Goods
Aerospace and Defense sector sees rally amid geopolitical tensions,,Telecommunications
Utilities sector remains stable during market fluctuations,Positive,Industrials
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Pharmaceuticals
Dow Jones plunges as market fears recession,Neutral,Agriculture
Market sentiment turns positive on vaccine trial results,Neutral,Pharmaceuticals
Government subsidy program gives a lift to the agriculture sector,Negative,Industrials
Merger talks between two banks fall through,Neutral,Real Estate
Bond yields tumble as investors seek safe havens,Positive,Consumer Goods
,Positive,Agriculture
A massive data breach sends a tech company's stock tumbling,Positive,Energy
Record-high inflation data rattles investors,Positive,Automotive
A massive data breach sends a tech company's stock tumbling,Negative,Agriculture
Dow Jones plunges as market fears recession,Negative,Finance
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Media & Entertainment
ASX 200 gains on strong export performance,Neutral,Aerospace & Defense
New housing data release shows a slowdown in market activity,Neutral,Telecommunications
Automotive industry faces headwinds from rising material costs,Neutral,Utilities
Federal Reserve Chairman's speech causes market volatility,Positive,Energy
Automotive industry faces headwinds from rising material costs,Neutral,Aerospace & Defense
Consumer Discretionary stocks outperform as spending increases,Neutral,Pharmaceuticals
Semiconductor shortages weigh heavily on tech sector profits,Negative,Telecommunications
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Media & Entertainment
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Consumer Goods
Supply chain issues impact manufacturing sector earnings,Neutral,Healthcare
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Automotive
Quarterly report shows surprising losses for retail giants,Neutral,Telecommunications
Pharmaceutical company's drug approval drives stock upward,Positive,Transportation
,Negative,Industrials
,Neutral,Real Estate
Financial services stocks rally on strong profit margins,Neutral,Automotive
Media and Entertainment companies report a surge in streaming revenue,,Media & Entertainment
Unexpected rise in unemployment fuels market pessimism,Negative,Media & Entertainment
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Pharmaceuticals
Semiconductor shortages weigh heavily on tech sector profits,Negative,Finance
Central Bank Governor signals potential shift in policy,Negative,Transportation
Energy company's dividend hike excites shareholders,Neutral,Materials
Retail sales report surpasses all forecasts,Neutral,Finance
Utilities sector remains stable during market fluctuations,Neutral,Technology
Quarterly report shows surprising losses for retail giants,Positive,Transportation
Retail sales report surpasses all forecasts,Negative,Healthcare
A massive data breach sends a tech company's stock tumbling,Neutral,Aerospace & Defense
New housing data release shows a slowdown in market activity,Neutral,Utilities
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Consumer Goods
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Real Estate
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Pharmaceuticals
Merger talks between two banks fall through,Negative,Real Estate
New housing data release shows a slowdown in market activity,Positive,Real Estate
New IPO for a popular software firm is oversubscribed,Positive,Technology
Media and Entertainment companies report a surge in streaming revenue,Negative,Technology
Healthcare stocks gain on robust demand and strong outlook,Negative,Agriculture
Federal Reserve Chairman's speech causes market volatility,Negative,Agriculture
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Energy
Federal Reserve Chairman's speech causes market volatility,Positive,Materials
Unexpected rise in unemployment fuels market pessimism,Positive,Pharmaceuticals
Central Bank's dovish tone hints at future rate cuts,Positive,Retail
Nikkei 225 index benefits from a weaker yen,Positive,Aerospace & Defense
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Utilities
ASX 200 gains on strong export performance,Negative,Consumer Goods
Automotive industry faces headwinds from rising material costs,Positive,Automotive
Central Bank Governor signals potential shift in policy,Neutral,Agriculture
Central Bank's dovish tone hints at future rate cuts,Positive,Agriculture
Dow Jones plunges as market fears recession,Negative,Telecommunications
New regulations on cryptocurrencies cause a market dip,Positive,Agriculture
Bond yields tumble as investors seek safe havens,Neutral,Energy
Gold prices surge as investors flee riskier assets,Positive,Pharmaceuticals
Utilities sector remains stable during market fluctuations,Positive,Healthcare
Pharmaceutical company's drug approval drives stock upward,Neutral,Finance
Supply chain issues impact manufacturing sector earnings,Negative,Materials
A massive data breach sends a tech company's stock tumbling,Neutral,Agriculture
New IPO for a popular software firm is oversubscribed,Neutral,Technology
New housing data release shows a slowdown in market activity,Negative,Agriculture
Media and Entertainment companies report a surge in streaming revenue,Negative,Healthcare
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Consumer Goods
Media and Entertainment companies report a surge in streaming revenue,Positive,Transportation
Unexpected rise in unemployment fuels market pessimism,Positive,Agriculture
,Neutral,Media & Entertainment
Manufacturing PMI data signals economic expansion,Negative,Retail
New regulations on cryptocurrencies cause a market dip,Neutral,Industrials
Massive stock buyback program announced by a consumer goods company,Positive,Materials
New housing data release shows a slowdown in market activity,Positive,Transportation
Government subsidy program gives a lift to the agriculture sector,Positive,Finance
Bond yields tumble as investors seek safe havens,Neutral,Retail
Market sentiment turns positive on vaccine trial results,Positive,Agriculture
Banking stocks dip after a major scandal is revealed,Neutral,Industrials
Federal Reserve Chairman's speech causes market volatility,,Retail
Consumer confidence index reaches a decade high,Negative,Utilities
Market braces for a major policy announcement from the EU,Positive,Transportation
China's Shanghai Composite falls after new trade restrictions,Neutral,Telecommunications
Real Estate sector shows signs of overheating as interest rates fall,Negative,Healthcare
Central bank maintains status quo on interest rates,Negative,Healthcare
Gold prices surge as investors flee riskier assets,Negative,Media & Entertainment
ASX 200 gains on strong export performance,Positive,Technology
"Global trade talks collapse, causing market turmoil",Neutral,Transportation
Manufacturing PMI data signals economic expansion,Positive,Pharmaceuticals
Financial sector bracing for new capital requirements,Neutral,Construction
E-commerce earnings report beats all analyst expectations,Negative,Retail
Government subsidy program gives a lift to the agriculture sector,Neutral,Telecommunications
New regulations on cryptocurrencies cause a market dip,Negative,Materials
Federal Reserve Chairman's speech causes market volatility,Positive,Aerospace & Defense
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Consumer Goods
Record-high inflation data rattles investors,Neutral,Retail
Banking stocks dip after a major scandal is revealed,Negative,Real Estate
Supply chain issues impact manufacturing sector earnings,Positive,Materials
Dow Jones plunges as market fears recession,Negative,Materials
,Positive,Consumer Goods
Tech Giant's New Product Launch Sparks Sector-Wide Gains,,Aerospace & Defense
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Telecommunications
Retail sales report surpasses all forecasts,Neutral,Transportation
Semiconductor shortages weigh heavily on tech sector profits,Negative,Technology
Financial sector bracing for new capital requirements,Neutral,Real Estate
Mining company stock surges on commodity price boom,Positive,Materials
Nikkei 225 index benefits from a weaker yen,Positive,Transportation
Bond yields tumble as investors seek safe havens,Neutral,Agriculture
Retail sales report surpasses all forecasts,Negative,Pharmaceuticals
Nikkei 225 index benefits from a weaker yen,Neutral,Finance
Bond yields tumble as investors seek safe havens,Negative,Aerospace & Defense
New regulations on cryptocurrencies cause a market dip,Negative,Consumer Goods
Major oil spill sends energy stocks plummeting,Neutral,Construction
Gold prices surge as investors flee riskier assets,Neutral,Industrials
Massive stock buyback program announced by a consumer goods company,Neutral,Real Estate
Financial services stocks rally on strong profit margins,Negative,Utilities
New IPO for a popular software firm is oversubscribed,Negative,Media & Entertainment
Energy company's dividend hike excites shareholders,Neutral,Technology
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Agriculture
Nikkei 225 index benefits from a weaker yen,Neutral,Materials
Pharmaceutical company's drug approval drives stock upward,Positive,Retail
Mining company stock surges on commodity price boom,Negative,Technology
Supply chain issues impact manufacturing sector earnings,Negative,Consumer Goods
China's Shanghai Composite falls after new trade restrictions,Neutral,Utilities
ASX 200 gains on strong export performance,Neutral,Construction
Semiconductor shortages weigh heavily on tech sector profits,Negative,Transportation
Market braces for a major policy announcement from the EU,Negative,Agriculture
Supply chain issues impact manufacturing sector earnings,Positive,Industrials
E-commerce earnings report beats all analyst expectations,Negative,Healthcare
Financial sector bracing for new capital requirements,Positive,Transportation
Healthcare stocks gain on robust demand and strong outlook,Negative,Transportation
Real Estate sector shows signs of overheating as interest rates fall,Negative,Energy
Massive stock buyback program announced by a consumer goods company,Negative,Industrials
,Positive,Energy
"Global trade talks collapse, causing market turmoil",Negative,Technology
Crude oil prices drop to a multi-year low,Neutral,Construction
E-commerce earnings report beats all analyst expectations,Neutral,Pharmaceuticals
ASX 200 gains on strong export performance,Negative,Real Estate
Pharmaceutical company's drug approval drives stock upward,Negative,Aerospace & Defense
Geopolitical ceasefire prompts a broad market recovery,,Transportation
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Materials
Government subsidy program gives a lift to the agriculture sector,Neutral,Retail
Geopolitical ceasefire prompts a broad market recovery,Neutral,Construction
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Healthcare
Geopolitical ceasefire prompts a broad market recovery,Neutral,Agriculture
Market braces for a major policy announcement from the EU,Positive,Industrials
Financial services stocks rally on strong profit margins,Negative,Energy
ASX 200 gains on strong export performance,Positive,Industrials
New regulations on cryptocurrencies cause a market dip,Positive,Industrials
Federal Reserve Chairman's speech causes market volatility,Negative,Automotive
Gold prices surge as investors flee riskier assets,Negative,Automotive
Media and Entertainment companies report a surge in streaming revenue,,Transportation
Government spending bill is expected to stimulate the economy,Positive,Telecommunications
Semiconductor shortages weigh heavily on tech sector profits,Positive,Technology
Gold prices surge as investors flee riskier assets,Neutral,Aerospace & Defense
New regulations on cryptocurrencies cause a market dip,Negative,Transportation
Crude oil prices drop to a multi-year low,Negative,Consumer Goods
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Utilities
Government policy shift boosts renewable energy sector,Neutral,Real Estate
Consumer confidence index reaches a decade high,,Healthcare
Consumer confidence index reaches a decade high,Positive,Industrials
New regulations on cryptocurrencies cause a market dip,Positive,Finance
Massive stock buyback program announced by a consumer goods company,Positive,Construction
Merger talks between two banks fall through,Neutral,Healthcare
Automotive industry faces headwinds from rising material costs,Positive,Industrials
Utilities sector remains stable during market fluctuations,Neutral,Media & Entertainment
New IPO for a popular software firm is oversubscribed,Positive,Retail
Retail sales report surpasses all forecasts,Positive,Transportation
